courier_id,city_id,city_name,vehicle_type,status,orders_handled,avg_delivery_time,avg_estimated_sla,avg_shift_earnings,total_earnings,avg_rating_given,avg_acceptance_rate,avg_completion_rate
COU_9_0908,9,Essen,car,inactive,42180,39.29,35.00,50.1,2113105.49,3.00,0.744,0.786
COU_9_0903,9,Essen,bike,active,38726,39.42,35.00,53.08,2055439.4,3.03,0.762,0.801
COU_9_0878,9,Essen,car,churned,30576,39.26,35.00,53.74,1643224.81,2.99,0.742,0.754
COU_1_0922,1,Berlin,car,churned,25920,34.26,30.00,51.78,1342202.39,2.96,0.8,0.766
COU_9_0985,9,Essen,scooter,active,21168,39.28,35.00,44.48,941587.93,3.01,0.711,0.779
COU_9_0995,9,Essen,car,churned,21168,39.34,35.00,52.6,1113413.29,3.01,0.75,0.732
COU_12_0996,12,Hannover,bicycle,churned,19656,39.20,35.00,51.44,1011059.27,3.03,0.753,0.72
COU_9_0987,9,Essen,scooter,inactive,17640,39.15,35.00,44.74,789248.88,3.05,0.777,0.752
COU_1_0871,1,Berlin,scooter,churned,17280,34.53,30.00,44.41,767350.8,3.07,0.738,0.793
COU_6_0879,6,Stuttgart,car,churned,16776,37.63,33.00,50.74,851158.33,2.96,0.817,0.794
COU_9_0838,9,Essen,bicycle,active,16464,39.52,35.00,63.41,1043911.68,3.05,0.736,0.722
COU_5_0907,5,Frankfurt,car,active,15300,36.12,32.00,56.34,862032.6,3.07,0.789,0.764
COU_9_0988,9,Essen,bicycle,churned,15288,39.85,35.00,48.18,736528.81,3.01,0.774,0.781
COU_12_0912,12,Hannover,bicycle,active,13608,39.55,35.00,57.47,782066.88,2.91,0.763,0.822
COU_9_0969,9,Essen,bicycle,active,12936,39.26,35.00,53.47,691664.4,2.96,0.76,0.817
COU_12_0817,12,Hannover,bike,active,12852,39.54,35.00,42.06,540509.76,3.01,0.705,0.774
COU_12_0909,12,Hannover,car,suspended,12096,39.40,35.00,59.87,724195.07,2.98,0.749,0.799
COU_12_0926,12,Hannover,bicycle,active,12096,39.65,35.00,44.54,538763.4,2.97,0.747,0.762
COU_12_0876,12,Hannover,bicycle,suspended,11340,39.10,35.00,52.56,596045.52,2.99,0.779,0.756
COU_12_0962,12,Hannover,car,inactive,11340,39.44,35.00,52.57,596143.8,2.92,0.76,0.774
COU_12_0995,12,Hannover,bicycle,inactive,11340,39.46,35.00,50.44,571982.04,3.04,0.735,0.782
COU_12_0807,12,Hannover,bike,suspended,10584,39.39,35.00,48.79,516393.37,2.95,0.745,0.77
COU_12_0880,12,Hannover,bicycle,inactive,10584,39.58,35.00,53.56,566863.92,2.96,0.685,0.782
COU_12_0918,12,Hannover,scooter,active,10584,39.54,35.00,51.26,542566.07,3.04,0.749,0.754
COU_12_0853,12,Hannover,car,suspended,9828,39.62,35.00,53.08,521624.88,3.08,0.784,0.77
COU_12_0913,12,Hannover,bike,active,9828,39.17,35.00,43.52,427676.76,3.03,0.752,0.809
COU_1_0840,1,Berlin,car,suspended,9720,34.86,30.00,57.71,560919.6,3.01,0.74,0.755
COU_5_0995,5,Frankfurt,bike,active,9180,36.54,32.00,48.78,447759.6,2.92,0.774,0.804
COU_12_0811,12,Hannover,bike,inactive,9072,39.31,35.00,43.71,396514.44,3.03,0.763,0.815
COU_12_0940,12,Hannover,bike,active,9072,39.67,35.00,56.31,510844.32,2.95,0.753,0.757
COU_12_0968,12,Hannover,bicycle,suspended,9072,39.42,35.00,42.53,385869.96,2.99,0.741,0.75
COU_12_0977,12,Hannover,car,active,9072,39.38,35.00,54.66,495845.29,3.06,0.713,0.741
COU_5_0926,5,Frankfurt,scooter,suspended,8670,36.36,32.00,52.15,452140.5,2.95,0.773,0.732
COU_5_0982,5,Frankfurt,bicycle,suspended,8670,36.21,32.00,56.23,487509,2.93,0.734,0.777
COU_5_0988,5,Frankfurt,bike,active,8670,36.46,32.00,48.48,420347.1,3.08,0.746,0.796
COU_1_0896,1,Berlin,scooter,churned,8640,34.75,30.00,54.02,466770.6,3.02,0.776,0.781
COU_5_0904,5,Frankfurt,car,active,8160,36.31,32.00,60.71,495408.9,3.01,0.706,0.742
COU_5_0961,5,Frankfurt,scooter,active,8160,36.16,32.00,48.6,396560.7,3.02,0.771,0.809
COU_1_0807,1,Berlin,scooter,inactive,8100,34.92,30.00,49.16,398212.2,2.95,0.734,0.739
COU_1_0912,1,Berlin,scooter,suspended,8100,34.85,30.00,46.41,375910.2,2.99,0.747,0.752
COU_1_0938,1,Berlin,bike,inactive,8100,34.39,30.00,59.33,480540.6,2.83,0.749,0.783
COU_6_0902,6,Stuttgart,car,active,7922,37.52,33.00,56.8,449988.24,2.90,0.758,0.785
COU_6_0992,6,Stuttgart,scooter,inactive,7922,37.66,33.00,51.69,409520.8,2.99,0.746,0.77
COU_5_0801,5,Frankfurt,bike,active,7650,36.27,32.00,51.59,394699.2,2.91,0.721,0.771
COU_5_0807,5,Frankfurt,bicycle,churned,7650,36.19,32.00,54.02,413247.9,3.02,0.692,0.767
COU_5_0825,5,Frankfurt,car,active,7650,36.50,32.00,49.48,378552.6,2.99,0.792,0.779
COU_5_0881,5,Frankfurt,bicycle,inactive,7650,36.08,32.00,54.86,419648.4,3.10,0.751,0.785
COU_5_0899,5,Frankfurt,bicycle,active,7650,35.99,32.00,52.35,400462.2,2.90,0.732,0.777
COU_1_0836,1,Berlin,bicycle,inactive,7560,34.31,30.00,43.15,326224.8,2.91,0.798,0.808
COU_1_0987,1,Berlin,bike,active,7560,34.30,30.00,34,257061.6,2.92,0.746,0.782
COU_12_0933,12,Hannover,bike,inactive,7560,39.44,35.00,43.94,332178.84,2.94,0.741,0.819
COU_6_0944,6,Stuttgart,scooter,suspended,7456,37.92,33.00,45.08,336083.86,2.88,0.76,0.757
COU_6_0961,6,Stuttgart,car,churned,7456,37.89,33.00,52.68,392768.1,3.06,0.769,0.759
COU_5_0914,5,Frankfurt,bicycle,active,7140,36.25,32.00,52.16,372396.9,3.00,0.737,0.773
COU_1_0892,1,Berlin,car,inactive,7020,34.55,30.00,62.54,439063.19,2.99,0.764,0.773
COU_1_0918,1,Berlin,bike,active,7020,34.20,30.00,53.98,378950.4,2.98,0.806,0.728
COU_6_0987,6,Stuttgart,bicycle,suspended,6990,37.75,33.00,52.04,363787.56,3.01,0.755,0.766
COU_5_0810,5,Frankfurt,bike,suspended,6630,36.64,32.00,52.9,350737.2,3.15,0.806,0.808
COU_6_0804,6,Stuttgart,scooter,suspended,6524,37.59,33.00,55.89,364645,2.98,0.772,0.755
COU_1_0963,1,Berlin,scooter,suspended,6480,34.80,30.00,61.34,397456.2,2.88,0.748,0.776
COU_5_0831,5,Frankfurt,bike,inactive,6120,37.32,32.00,51.35,314256.9,2.94,0.772,0.78
COU_5_0994,5,Frankfurt,bicycle,suspended,6120,36.65,32.00,51.39,314532.3,3.08,0.729,0.798
COU_6_0826,6,Stuttgart,bike,active,6058,38.04,33.00,54.47,329983.92,3.03,0.838,0.761
COU_1_0909,1,Berlin,scooter,churned,5940,34.30,30.00,36.91,219272.4,3.03,0.772,0.77
COU_12_0848,12,Hannover,bike,inactive,5712,39.17,35.00,50.11,286238.4,2.92,0.73,0.781
COU_7_0841,7,Dusseldorf,bicycle,active,5700,38.79,34.00,57.3,326625,2.97,0.746,0.805
COU_6_0977,6,Stuttgart,bicycle,suspended,5592,37.30,33.00,46.44,259687.82,3.02,0.811,0.773
COU_6_0995,6,Stuttgart,bicycle,suspended,5592,37.29,33.00,39.01,218167.22,3.02,0.741,0.817
COU_6_0816,6,Stuttgart,bicycle,suspended,5592,37.63,33.00,50.12,280247.74,3.11,0.736,0.784
COU_7_0978,7,Dusseldorf,bike,active,5400,38.76,34.00,50.87,274707,3.06,0.719,0.734
COU_7_0871,7,Dusseldorf,bicycle,inactive,5100,38.68,34.00,55.45,282783,3.02,0.783,0.769
COU_7_0877,7,Dusseldorf,bike,active,5100,37.67,34.00,44.45,226713,3.03,0.752,0.788
COU_7_0929,7,Dusseldorf,bicycle,active,4800,38.73,34.00,47.28,226959,2.97,0.743,0.763
COU_7_0940,7,Dusseldorf,bicycle,active,4800,38.21,34.00,53.53,256964.99,2.99,0.729,0.796
COU_7_0805,7,Dusseldorf,bicycle,churned,4500,38.57,34.00,39.51,177792,2.96,0.766,0.779
COU_7_0946,7,Dusseldorf,bicycle,active,4500,39.25,34.00,54.04,243162,3.08,0.719,0.735
COU_7_0837,7,Dusseldorf,car,active,4200,38.58,34.00,41.84,175725,3.03,0.735,0.814
COU_7_0971,7,Dusseldorf,bike,inactive,4200,39.07,34.00,54.66,229593,3.11,0.753,0.799
COU_7_0856,7,Dusseldorf,bicycle,churned,3900,39.00,34.00,49.28,192174,3.19,0.706,0.747
COU_7_0921,7,Dusseldorf,car,active,3900,38.31,34.00,48.74,190086,2.92,0.782,0.775
COU_7_0997,7,Dusseldorf,scooter,active,3900,39.02,34.00,49.82,194295,3.10,0.764,0.8
COU_6_0859,6,Stuttgart,car,suspended,0,0.00,0.00,39.94,599.08,0.00,0.752,0.74
COU_6_0860,6,Stuttgart,bike,suspended,0,0.00,0.00,50.48,757.18,0.00,0.734,0.81
COU_6_0861,6,Stuttgart,bicycle,inactive,0,0.00,0.00,37.05,444.61,0.00,0.79,0.777
COU_6_0862,6,Stuttgart,scooter,churned,0,0.00,0.00,49.78,796.46,0.00,0.719,0.783
COU_6_0863,6,Stuttgart,car,active,0,0.00,0.00,57.45,574.53,0.00,0.742,0.825
COU_6_0864,6,Stuttgart,bicycle,suspended,0,0.00,0.00,55.76,892.2,0.00,0.752,0.714
COU_6_0865,6,Stuttgart,bicycle,inactive,0,0.00,0.00,46.28,740.54,0.00,0.767,0.779
COU_6_0866,6,Stuttgart,scooter,inactive,0,0.00,0.00,57.94,811.09,0.00,0.76,0.745
COU_6_0867,6,Stuttgart,car,churned,0,0.00,0.00,51.87,414.98,0.00,0.765,0.783
COU_6_0868,6,Stuttgart,car,suspended,0,0.00,0.00,51.54,669.98,0.00,0.764,0.828
COU_6_0869,6,Stuttgart,car,churned,0,0.00,0.00,54.07,811.06,0.00,0.72,0.75
COU_6_0870,6,Stuttgart,bicycle,inactive,0,0.00,0.00,54.39,598.24,0.00,0.722,0.791
COU_6_0871,6,Stuttgart,bike,suspended,0,0.00,0.00,55.21,662.5,0.00,0.742,0.809
COU_6_0872,6,Stuttgart,bicycle,churned,0,0.00,0.00,49.46,642.98,0.00,0.742,0.734
COU_6_0873,6,Stuttgart,bike,inactive,0,0.00,0.00,52.7,685.12,0.00,0.737,0.809
COU_6_0874,6,Stuttgart,bicycle,inactive,0,0.00,0.00,54.53,818.02,0.00,0.749,0.751
COU_6_0875,6,Stuttgart,bike,inactive,0,0.00,0.00,58,928.04,0.00,0.783,0.776
COU_6_0876,6,Stuttgart,car,suspended,0,0.00,0.00,49.15,786.4,0.00,0.731,0.741
COU_6_0877,6,Stuttgart,bike,suspended,0,0.00,0.00,53.62,697.09,0.00,0.767,0.788
COU_6_0878,6,Stuttgart,bicycle,suspended,0,0.00,0.00,56.6,848.99,0.00,0.752,0.82
COU_6_0880,6,Stuttgart,scooter,suspended,0,0.00,0.00,51.07,612.88,0.00,0.832,0.741
COU_6_0881,6,Stuttgart,bicycle,inactive,0,0.00,0.00,45.63,684.51,0.00,0.721,0.831
COU_6_0882,6,Stuttgart,car,inactive,0,0.00,0.00,51.71,465.43,0.00,0.799,0.703
COU_6_0883,6,Stuttgart,bicycle,inactive,0,0.00,0.00,43.96,615.37,0.00,0.696,0.795
COU_6_0884,6,Stuttgart,bike,churned,0,0.00,0.00,40.85,571.87,0.00,0.734,0.772
COU_6_0885,6,Stuttgart,bicycle,suspended,0,0.00,0.00,45.3,588.91,0.00,0.737,0.754
COU_6_0886,6,Stuttgart,bicycle,suspended,0,0.00,0.00,49.09,736.33,0.00,0.755,0.782
COU_6_0887,6,Stuttgart,car,inactive,0,0.00,0.00,62.37,686.12,0.00,0.808,0.805
COU_6_0888,6,Stuttgart,bike,inactive,0,0.00,0.00,52.31,680.07,0.00,0.736,0.771
COU_6_0889,6,Stuttgart,bike,churned,0,0.00,0.00,43.17,690.75,0.00,0.75,0.868
COU_6_0890,6,Stuttgart,car,active,0,0.00,0.00,54.52,872.32,0.00,0.741,0.794
COU_6_0891,6,Stuttgart,scooter,suspended,0,0.00,0.00,57.79,982.42,0.00,0.753,0.763
COU_6_0892,6,Stuttgart,bicycle,suspended,0,0.00,0.00,52.95,847.27,0.00,0.707,0.754
COU_6_0893,6,Stuttgart,bike,churned,0,0.00,0.00,39.99,559.79,0.00,0.735,0.767
COU_6_0894,6,Stuttgart,car,suspended,0,0.00,0.00,51.3,769.45,0.00,0.729,0.803
COU_6_0895,6,Stuttgart,bike,suspended,0,0.00,0.00,51.21,768.11,0.00,0.777,0.768
COU_6_0896,6,Stuttgart,car,churned,0,0.00,0.00,60.84,730.06,0.00,0.754,0.75
COU_6_0897,6,Stuttgart,scooter,churned,0,0.00,0.00,45.7,502.73,0.00,0.738,0.811
COU_6_0898,6,Stuttgart,bike,suspended,0,0.00,0.00,64.25,963.75,0.00,0.709,0.795
COU_6_0899,6,Stuttgart,car,churned,0,0.00,0.00,45.63,501.9,0.00,0.688,0.829
COU_6_0900,6,Stuttgart,bicycle,inactive,0,0.00,0.00,44.76,581.84,0.00,0.749,0.798
COU_6_0901,6,Stuttgart,bicycle,inactive,0,0.00,0.00,64.33,1029.31,0.00,0.748,0.776
COU_6_0903,6,Stuttgart,scooter,active,0,0.00,0.00,65.19,847.49,0.00,0.84,0.756
COU_6_0904,6,Stuttgart,scooter,suspended,0,0.00,0.00,52.27,679.5,0.00,0.708,0.745
COU_6_0905,6,Stuttgart,scooter,inactive,0,0.00,0.00,51.24,666.16,0.00,0.766,0.775
COU_6_0906,6,Stuttgart,bike,suspended,0,0.00,0.00,54.23,813.46,0.00,0.725,0.785
COU_6_0907,6,Stuttgart,scooter,churned,0,0.00,0.00,60.97,853.52,0.00,0.716,0.78
COU_6_0908,6,Stuttgart,bicycle,churned,0,0.00,0.00,65.68,985.15,0.00,0.74,0.756
COU_6_0909,6,Stuttgart,bike,active,0,0.00,0.00,54.32,923.4,0.00,0.759,0.78
