segment,city_id,city_name,customer_count,avg_orders,avg_order_value,avg_cancellation_rate,avg_complaint_rate,total_orders,total_value
VIP,4,Cologne,33,112.91,28.74,0.066,0.012,3726,113291.74
Dormant,7,Dusseldorf,34,104.15,31.52,0.065,0.011,3541,109731.53
Dormant,5,Frankfurt,37,98.08,28.26,0.068,0.01,3629,102409.61
VIP,10,Leipzig,33,100.52,28.17,0.058,0.01,3317,98288.57
Regular,1,Berlin,28,106.14,31.76,0.067,0.009,2972,88313.41
Regular,6,Stuttgart,28,109.25,27.61,0.06,0.014,3059,85608.2
Regular,8,Dortmund,24,109.46,32.97,0.061,0.011,2627,83098.7
Dormant,6,Stuttgart,26,126.88,24,0.071,0.012,3299,82411.13
Regular,9,Essen,29,93.83,27.16,0.061,0.011,2721,79901.25
Dormant,1,Berlin,26,102.42,30.92,0.072,0.012,2663,79730.19
VIP,1,Berlin,22,113.59,29.02,0.065,0.008,2499,78369.34
Regular,2,Hamburg,30,100.57,25.82,0.063,0.011,3017,76234.67
New,3,Munich,27,98.59,30.71,0.07,0.01,2662,75133.43
New,8,Dortmund,26,96.23,27.46,0.063,0.012,2502,71718.06
Regular,10,Leipzig,25,116.84,25.56,0.086,0.01,2921,71666.52
VIP,9,Essen,26,111.65,26.25,0.073,0.013,2903,70516.2
Regular,11,Bremen,23,113.57,28.95,0.077,0.011,2612,70071.95
Dormant,8,Dortmund,27,93.22,29.53,0.062,0.013,2517,69301.99
New,12,Hannover,26,109.19,24.69,0.072,0.012,2839,68911.65
Dormant,3,Munich,26,83.81,29.07,0.064,0.011,2179,67943.96
Regular,3,Munich,25,97.80,28.23,0.079,0.01,2445,67493.32
Regular,12,Hannover,27,85.89,28.58,0.07,0.011,2319,67075.71
Regular,5,Frankfurt,22,100.73,31.09,0.071,0.011,2216,66945.08
VIP,3,Munich,22,115.23,26.54,0.074,0.013,2535,66532.99
New,1,Berlin,24,97.92,29.13,0.075,0.008,2350,66144.54
New,9,Essen,25,88.48,29.66,0.069,0.012,2212,65167.38
Dormant,11,Bremen,25,93.60,28.49,0.066,0.008,2340,65083.17
VIP,6,Stuttgart,23,115.96,26.63,0.075,0.015,2667,64925.38
VIP,12,Hannover,20,109.15,29.83,0.074,0.012,2183,64011.94
New,2,Hamburg,24,95.17,27.58,0.072,0.01,2284,63680.99
VIP,8,Dortmund,23,112.00,27.12,0.073,0.012,2576,63545.25
Regular,4,Cologne,25,92.08,29.28,0.076,0.013,2302,63188.4
Dormant,2,Hamburg,24,104.25,26.38,0.067,0.012,2502,63103.52
Dormant,12,Hannover,27,89.22,26.83,0.06,0.012,2409,62415.64
New,6,Stuttgart,23,91.61,29.34,0.055,0.012,2107,62006.92
New,5,Frankfurt,21,99.67,27.28,0.073,0.012,2093,61833.59
VIP,11,Bremen,28,86.86,27.04,0.074,0.011,2432,61177.24
New,11,Bremen,24,100.96,25.61,0.062,0.009,2423,61064.4
New,10,Leipzig,26,92.54,26.07,0.076,0.01,2406,61045.49
VIP,2,Hamburg,22,126.05,21.09,0.06,0.01,2773,60220.46
VIP,7,Dusseldorf,24,90.33,26.78,0.078,0.01,2168,58749.19
Regular,7,Dusseldorf,25,79.32,27.07,0.066,0.01,1983,58565.35
New,4,Cologne,21,84.95,28.89,0.073,0.01,1784,56368.4
Dormant,4,Cologne,21,90.43,30.9,0.07,0.012,1899,56219.92
VIP,5,Frankfurt,20,94.90,28.52,0.068,0.01,1898,55761.75
New,7,Dusseldorf,17,89.88,32.64,0.076,0.009,1528,51707.57
Dormant,9,Essen,20,97.90,26.12,0.081,0.012,1958,50534.83
Dormant,10,Leipzig,16,107.19,28.54,0.057,0.01,1715,47615.55
